threshold,window_start,gateway_windows,batch_latency_ms,latency_ms_per_gateway_window
0.1,2020-07-08 11:45:00+00:00,3,6.6552,2.2184
0.1,2020-07-08 11:50:00+00:00,3,6.7162,2.2387333333333332
0.1,2020-07-08 11:55:00+00:00,3,7.4339,2.4779666666666667
0.1,2020-07-08 12:00:00+00:00,3,6.3365,2.1121666666666665
0.1,2020-07-08 12:05:00+00:00,3,8.4451,2.8150333333333335
0.1,2020-07-08 12:10:00+00:00,3,6.482,2.1606666666666667
0.1,2020-07-08 12:15:00+00:00,3,7.2126,2.4042
0.1,2020-07-08 12:20:00+00:00,3,6.5396,2.179866666666667
0.1,2020-07-08 12:25:00+00:00,3,7.1912,2.397066666666667
0.1,2020-07-08 12:30:00+00:00,3,6.8141,2.2713666666666668
0.1,2020-07-08 12:35:00+00:00,3,6.2399,2.0799666666666665
0.1,2020-07-08 12:40:00+00:00,3,7.9741,2.6580333333333335
0.1,2020-07-08 12:45:00+00:00,2,6.9108,3.4554
0.1,2020-07-08 12:50:00+00:00,2,7.0975,3.54875
0.1,2020-07-08 12:55:00+00:00,3,6.206,2.0686666666666667
0.1,2020-07-08 13:00:00+00:00,3,7.2072,2.4024
0.1,2020-07-08 13:05:00+00:00,3,6.7244,2.2414666666666667
0.1,2020-07-08 13:10:00+00:00,2,5.3581,2.67905
0.1,2020-07-08 13:15:00+00:00,2,5.7034,2.8517
0.1,2020-07-08 13:20:00+00:00,3,6.5287,2.1762333333333332
0.1,2020-07-08 13:25:00+00:00,3,7.4297,2.476566666666667
0.1,2020-07-08 13:30:00+00:00,3,8.11,2.703333333333333
0.1,2020-07-08 13:35:00+00:00,3,8.6936,2.897866666666667
0.1,2020-07-08 13:40:00+00:00,2,4.5413,2.27065
0.1,2020-07-08 13:45:00+00:00,2,3.4798,1.7399
0.1,2020-07-08 13:50:00+00:00,3,3.5071,1.1690333333333334
0.1,2020-07-08 13:55:00+00:00,3,4.4043,1.4681
0.1,2020-07-08 14:00:00+00:00,2,8.2112,4.1056
0.1,2020-07-08 14:05:00+00:00,2,7.8512,3.9256
0.1,2020-07-08 14:10:00+00:00,3,7.8813,2.6271
0.1,2020-07-08 14:15:00+00:00,3,7.1778,2.3926000000000003
0.1,2020-07-08 14:20:00+00:00,3,8.0294,2.6764666666666668
0.1,2020-07-08 14:25:00+00:00,3,6.5682,2.1894
0.1,2020-07-08 14:30:00+00:00,2,7.2518,3.6259
0.1,2020-07-08 14:35:00+00:00,2,6.4515,3.22575
0.1,2020-07-08 14:40:00+00:00,2,6.7994,3.3997
0.1,2020-07-08 14:45:00+00:00,3,7.7569,2.5856333333333335
0.1,2020-07-08 14:50:00+00:00,3,6.7549,2.2516333333333334
0.1,2020-07-08 14:55:00+00:00,3,7.8206,2.6068666666666664
0.1,2020-07-08 15:00:00+00:00,3,3.5776,1.1925333333333332
0.1,2020-07-08 15:05:00+00:00,3,3.4726,1.1575333333333333
0.1,2020-07-08 15:10:00+00:00,3,8.3859,2.7952999999999997
0.1,2020-07-08 15:15:00+00:00,3,6.945,2.315
0.1,2020-07-08 15:20:00+00:00,3,7.5664,2.522133333333333
0.1,2020-07-08 15:25:00+00:00,3,6.3273,2.1091
0.1,2020-07-08 15:30:00+00:00,3,6.7037,2.234566666666667
0.1,2020-07-08 15:35:00+00:00,3,6.8343,2.2781
0.1,2020-07-08 15:40:00+00:00,3,6.6565,2.2188333333333334
0.1,2020-07-08 15:45:00+00:00,3,7.251,2.4170000000000003
0.1,2020-07-08 15:50:00+00:00,3,6.4887,2.1629
0.1,2020-07-08 15:55:00+00:00,3,7.4692,2.489733333333333
0.1,2020-07-08 16:00:00+00:00,3,6.4434,2.1477999999999997
0.1,2020-07-08 16:05:00+00:00,3,8.8914,2.9638000000000004
0.1,2020-07-08 16:10:00+00:00,3,8.0521,2.6840333333333333
0.1,2020-07-08 16:15:00+00:00,2,3.5361,1.76805
0.1,2020-07-08 16:20:00+00:00,2,6.9297,3.46485
0.1,2020-07-08 16:25:00+00:00,2,7.4536,3.7268
0.1,2020-07-08 16:30:00+00:00,2,9.3535,4.67675
0.1,2020-07-08 16:35:00+00:00,3,7.4805,2.4935
0.1,2020-07-08 16:40:00+00:00,2,9.6489,4.82445
0.1,2020-07-08 16:45:00+00:00,2,8.6404,4.3202
0.1,2020-07-08 16:50:00+00:00,3,8.3239,2.7746333333333335
0.1,2020-07-08 16:55:00+00:00,3,7.6482,2.5494
0.1,2020-07-08 17:00:00+00:00,3,7.6377,2.5459
0.1,2020-07-08 17:05:00+00:00,3,3.6313,1.2104333333333333
0.1,2020-07-08 17:10:00+00:00,3,6.436,2.1453333333333333
0.1,2020-07-08 17:15:00+00:00,3,8.6408,2.880266666666667
0.1,2020-07-08 17:20:00+00:00,3,7.2384,2.4128000000000003
0.1,2020-07-08 17:25:00+00:00,2,8.4867,4.24335
0.1,2020-07-08 17:30:00+00:00,2,7.4527,3.72635
0.1,2020-07-08 17:35:00+00:00,2,8.3628,4.1814
0.1,2020-07-08 17:40:00+00:00,2,7.0522,3.5261
0.1,2020-07-08 17:45:00+00:00,3,8.4238,2.807933333333333
0.1,2020-07-08 17:50:00+00:00,3,6.6329,2.2109666666666667
0.1,2020-07-08 17:55:00+00:00,3,7.3983,2.4661
0.1,2020-07-08 18:00:00+00:00,2,8.0449,4.02245
0.1,2020-07-08 18:05:00+00:00,2,7.8686,3.9343
0.1,2020-07-08 18:10:00+00:00,2,7.6497,3.82485
0.1,2020-07-08 18:15:00+00:00,3,8.9327,2.9775666666666667
0.1,2020-07-08 18:20:00+00:00,3,7.6267,2.5422333333333333
0.1,2020-07-08 18:25:00+00:00,3,9.1008,3.0336
0.1,2020-07-08 18:30:00+00:00,3,7.4006,2.4668666666666668
0.1,2020-07-08 18:35:00+00:00,2,9.207,4.6035
0.1,2020-07-08 18:40:00+00:00,2,7.3527,3.67635
0.1,2020-07-08 18:45:00+00:00,3,9.0905,3.0301666666666667
0.1,2020-07-08 18:50:00+00:00,2,6.9614,3.4807
0.1,2020-07-08 18:55:00+00:00,2,7.0646,3.5323
0.1,2020-07-08 19:00:00+00:00,2,7.9868,3.9934
0.1,2020-07-08 19:05:00+00:00,2,8.537,4.2685
0.1,2020-07-08 19:10:00+00:00,2,7.3502,3.6751
0.1,2020-07-08 19:15:00+00:00,2,9.8122,4.9061
0.1,2020-07-08 19:20:00+00:00,2,7.7865,3.89325
0.1,2020-07-08 19:25:00+00:00,3,8.4575,2.8191666666666664
0.1,2020-07-08 19:30:00+00:00,2,8.2358,4.1179
0.1,2020-07-08 19:35:00+00:00,2,7.6636,3.8318
