split_type,threshold,method,strategy,bin,count,mean_predicted,observed_rate,min_predicted,max_predicted,abs_gap,weight,test_gateway
Time,0.1,sigmoid,equal_width,1.0,3246,0.145961751486477,0.14972273567467653,0.10017739297230649,0.19998860340455588,0.0037609841881995343,0.09073121645796065,
Time,0.1,sigmoid,equal_width,2.0,2303,0.24894417301813526,0.27833260963960055,0.20004994509436785,0.29978575351780373,0.029388436621465286,0.06437276386404293,
Time,0.1,sigmoid,equal_width,3.0,1984,0.3485668871318234,0.3961693548387097,0.30000388884366774,0.399966791791416,0.04760246770688631,0.055456171735241505,
Time,0.1,sigmoid,equal_width,4.0,1619,0.44858316701643464,0.6429894996911674,0.40009700623037586,0.4999338486900174,0.19440633267473273,0.04525380143112701,
Time,0.1,sigmoid,equal_width,5.0,101,0.5049891198679957,0.8118811881188119,0.5003008685478672,0.5101403653595574,0.3068920682508163,0.0028231216457960642,
Time,0.1,sigmoid,equal_frequency,0.0,3578,0.0014972787067705974,0.0,0.0014915268292996426,0.0015001462623228923,0.0014972787067705974,0.10001118067978533,
Time,0.1,sigmoid,equal_frequency,1.0,3578,0.001501856123150995,0.0,0.0015001489741231662,0.0015033196549399967,0.001501856123150995,0.10001118067978533,
Time,0.1,sigmoid,equal_frequency,2.0,3577,0.0015047537498096505,0.0,0.0015033198303793936,0.0015062374210547721,0.0015047537498096505,0.099983228980322,
Time,0.1,sigmoid,equal_frequency,3.0,3578,0.0015081099010442502,0.0,0.001506237605258684,0.0015105228250203984,0.0015081099010442502,0.10001118067978533,
Time,0.1,sigmoid,equal_frequency,4.0,3577,0.0023499561561183646,0.0030752026838132512,0.0015105242988142553,0.005164492146875509,0.0007252465276948866,0.099983228980322,
Time,0.1,sigmoid,equal_frequency,5.0,3578,0.012121588382002666,0.0276690888764673,0.005168253791776737,0.02243328849998987,0.015547500494464633,0.10001118067978533,
Time,0.1,sigmoid,equal_frequency,6.0,3577,0.04168013227029845,0.05703103159071848,0.022446747903877698,0.06771100736844334,0.015350899320420025,0.099983228980322,
Time,0.1,sigmoid,equal_frequency,7.0,3578,0.10957115473829299,0.12073784237003912,0.06771762588592578,0.1591139760565145,0.011166687631746136,0.10001118067978533,
Time,0.1,sigmoid,equal_frequency,8.0,3577,0.2283261360698488,0.24797316186748672,0.15913743575664344,0.30609200287633115,0.019647025797637913,0.099983228980322,
Time,0.1,sigmoid,equal_frequency,9.0,3578,0.3998397600448297,0.5212409167132476,0.3061123071978932,0.5101403653595574,0.12140115666841789,0.10001118067978533,
Time,0.1,isotonic,equal_width,0.0,26708,0.015688561858573372,0.01778493335330238,0.0,0.09238708312388239,0.0020963714947290074,0.7465339892665475,
Time,0.1,isotonic,equal_width,1.0,5131,0.155858375417088,0.20093549015786397,0.10146263199705256,0.2,0.04507711474077597,0.14342016994633275,
Time,0.1,isotonic,equal_width,2.0,1661,0.2746755772056603,0.3660445514750151,0.26399999999999996,0.2917933130699088,0.09136897426935475,0.04642777280858676,
Time,0.1,isotonic,equal_width,3.0,870,0.3579988008678396,0.4850574712643678,0.32462855903324406,0.3770949720670391,0.12705867039652824,0.024317978533094812,
Time,0.1,isotonic,equal_width,4.0,493,0.4509075163610897,0.5882352941176471,0.4166666666666667,0.4930576017185089,0.13732777775655736,0.013780187835420394,
Time,0.1,isotonic,equal_width,5.0,730,0.5607222638842824,0.7123287671232876,0.5393258426966292,0.596958174904943,0.15160650323900526,0.02040474060822898,
Time,0.1,isotonic,equal_width,6.0,94,0.6580573866782709,0.851063829787234,0.6321691225322154,0.6666666666666666,0.1930064431089632,0.0026274597495527727,
Time,0.1,isotonic,equal_width,7.0,72,0.7616240890918262,0.7916666666666666,0.7572815533980582,0.7777777777777778,0.030042577574840412,0.002012522361359571,
Time,0.1,isotonic,equal_width,8.0,17,0.8672368335871355,0.8823529411764706,0.8080547173430873,0.8709677419354839,0.015116107589335015,0.0004751788908765653,
Time,0.1,isotonic,equal_frequency,0.0,18509,0.00139467420249699,0.0011886109460262574,0.0,0.016913319238900635,0.0002060632564707325,0.5173580053667263,
Time,0.1,isotonic,equal_frequency,1.0,2963,0.02689838705776064,0.029699628754640568,0.018212085484240605,0.044444444444444446,0.0028012416968799282,0.082820885509839,
Time,0.1,isotonic,equal_frequency,2.0,3599,0.05342651182228005,0.05723812170047236,0.047493403693931395,0.06770833333333334,0.003811609878192304,0.10059816636851521,
Time,0.1,isotonic,equal_frequency,3.0,4372,0.11207534445971695,0.12854528819762123,0.06990663690116954,0.15299026425591097,0.01646994373790428,0.12220483005366727,
Time,0.1,isotonic,equal_frequency,4.0,3419,0.20503131520661774,0.2895583503948523,0.15385075694808373,0.26399999999999996,0.08452703518823454,0.09556686046511628,
Time,0.1,isotonic,equal_frequency,5.0,2914,0.43263044050395194,0.5593685655456417,0.2917933130699088,0.8709677419354839,0.1267381250416898,0.08145125223613596,
LOGO,0.1,uncalibrated,equal_width,0.0,5100,0.0368631917508153,0.006862745098039216,0.002392506309131423,0.09971847747673289,0.030000446652776087,0.9845559845559846,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_width,1.0,78,0.12170663780541864,0.07692307692307693,0.10109515077852105,0.16581180495218628,0.044783560882341714,0.015057915057915058,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_width,2.0,2,0.24125741018313235,0.5,0.23627378864897705,0.24624103171728762,0.25874258981686765,0.0003861003861003861,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,0.0,518,0.013242045396352526,0.0,0.002392506309131423,0.01702491350147448,0.013242045396352526,0.1,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,1.0,518,0.019478334428424206,0.0019305019305019305,0.01703910007922642,0.021783680250635887,0.017547832497922276,0.1,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,2.0,518,0.023961205626602013,0.0019305019305019305,0.021786489358685768,0.026022699695389964,0.022030703696100083,0.1,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,3.0,518,0.028194970001714306,0.003861003861003861,0.026027399687907415,0.030194691282863506,0.024333966140710445,0.1,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,4.0,518,0.032423849760347935,0.003861003861003861,0.030195354832168803,0.03453953157266645,0.028562845899344075,0.1,00000f0c210281c4
LOGO,0.1,uncalibrated,equal_frequency,5.0,518,0.036711250348240757,0.003861003861003861,0.034547725783507295,0.03888694187363257,0.032850246487236896,0.1,00000f0c210281c4
