split_type,threshold,model,n,positive_count,prevalence,mean_predicted,calibration_in_large,brier_score,brier_reference,log_loss,ece_equal_width,ece_equal_frequency,brier_skill_score,test_gateway,fit_n,calibration_n
LOGO,0.1,isotonic,330,67,0.20303030303030303,0.20426340683428054,0.0012331038039775088,0.1419423371589383,0.16180899908172638,0.9618545872095352,0.07807952391410804,0.08089889421238258,0.1227784736048817,00800000a0001914,88173,21645
LOGO,0.1,uncalibrated,37046,6730,0.18166603681908977,0.24072200478008582,0.05905596796099605,0.12160234408531209,0.1486634878855349,0.38755078647623087,0.059064140604086525,0.05905596796099606,0.18202952308679077,7276ff002e062804,62193,10909
LOGO,0.1,sigmoid,37046,6730,0.18166603681908977,0.0004795104064596711,-0.1811865264126301,0.18143191953681795,0.1486634878855349,1.345496017396917,0.1811865264126301,0.1811865264126301,-0.2204201725477708,7276ff002e062804,62193,10909
LOGO,0.1,isotonic,37046,6730,0.18166603681908977,0.017064440123058446,-0.16460159669603133,0.1649643073409283,0.1486634878855349,2.9023330420409605,0.16460159669603133,0.16460159669603133,-0.10964911214745876,7276ff002e062804,62193,10909
Time,0.2,uncalibrated,35776,744,0.020796064400715564,0.2343047121806756,0.21350864777996004,0.128096979569717,0.02036358810615685,0.3920514777043224,0.21350864777996004,0.21350864777996,-5.290491582423403,,57105,17267
Time,0.2,sigmoid,35776,744,0.020796064400715564,0.01810205955959299,-0.002694004841122574,0.016577097994351885,0.02036358810615685,0.05961522458530608,0.0032506666477601816,0.0031200175637536593,0.18594415149558707,,57105,17267
Time,0.2,isotonic,35776,744,0.020796064400715564,0.01735298359995232,-0.003443080800763245,0.01635771307633756,0.02036358810615685,0.06352357958930947,0.00408806626587952,0.0037906464096807042,0.1967175435358628,,57105,17267
LOGO,0.2,uncalibrated,6824,991,0.14522274325908557,0.5123921981692957,0.36716945491021014,0.3023537374640334,0.1241330980993913,1.0334006720306759,0.36716945491021014,0.36716945491021014,-1.4357221570506828,00000f0c22433141,81616,21708
LOGO,0.2,sigmoid,6824,991,0.14522274325908557,0.09426303752837177,-0.0509597057307138,0.10598067243294197,0.1241330980993913,0.3701347321427894,0.05095970573071379,0.052675195812269954,0.14623356658604447,00000f0c22433141,81616,21708
LOGO,0.2,isotonic,6824,991,0.14522274325908557,0.14683651382560697,0.0016137705665213997,0.10886649138430188,0.1241330980993913,0.9613363431382818,0.06508926726163716,0.06380565001051666,0.1229857866180517,00000f0c22433141,81616,21708
LOGO,0.2,uncalibrated,4083,282,0.06906686260102865,0.10619725804668899,0.03713039544566034,0.06033246235206048,0.06429663109147928,0.21195065657169407,0.03713039544566032,0.03899619791494566,0.061654377097591584,00800000a0001793,84398,21667
LOGO,0.2,sigmoid,4083,282,0.06906686260102865,0.009097296117639143,-0.05996956648338951,0.06271395845074743,0.06429663109147928,0.33320898907123275,0.059988562603407555,0.06007175717871051,0.024615172115006634,00800000a0001793,84398,21667
LOGO,0.2,isotonic,4083,282,0.06906686260102865,0.009446907863529483,-0.05961995473749917,0.06363331426212793,0.06429663109147928,0.9021496098818428,0.06157929835738651,0.059619954737499176,0.010316509871374113,00800000a0001793,84398,21667
LOGO,0.2,uncalibrated,3359,280,0.08335814230425721,0.530364719810111,0.4470065775058538,0.3290386426861672,0.07640956241584042,1.0633198537326878,0.4470065775058539,0.4470065775058539,-3.3062495358297515,00800000a0001794,85081,21708
LOGO,0.2,sigmoid,3359,280,0.08335814230425721,0.10418476982627538,0.020826627522018165,0.06322780850701157,0.07640956241584042,0.21319935512564558,0.020826627522018144,0.027518670992274327,0.1725144535848847,00800000a0001794,85081,21708
LOGO,0.2,isotonic,3359,280,0.08335814230425721,0.14360793961219012,0.06024979730793291,0.07969681267091354,0.07640956241584042,0.925847232783125,0.060537413591861135,0.06331006266884881,-0.04302145112653655,00800000a0001794,85081,21708
LOGO,0.2,uncalibrated,330,20,0.06060606060606061,0.4522233270953321,0.3916172664892715,0.2706141191635808,0.056932966023875105,0.8941445366875779,0.39161726648927137,0.3916172664892714,-3.7532060607925732,00800000a0001914,88173,21645
LOGO,0.2,sigmoid,330,20,0.06060606060606061,0.08580544918022055,0.025199388574159945,0.048901907367217876,0.056932966023875105,0.16365311477160932,0.036640059871923265,0.027480078414085778,0.14106165930806003,00800000a0001914,88173,21645
LOGO,0.2,isotonic,330,20,0.06060606060606061,0.11353784311948348,0.05293178251342287,0.05967878179516847,0.056932966023875105,0.5924947994402973,0.052931782513422856,0.05495935732617417,-0.04822892540223345,00800000a0001914,88173,21645
