Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,window,split_type,test_gateway,total_samples,overall_event_rate,test_event_rate,date_count
0.8050453098212099,0.6361385911038375,0.5862745098039216,0.3382352941176471,0.42898134863701576,0.7961597869243642,0.5136991027840734,0.21650746999755083,884,3199,1,0.1,106065,4083,33,5min,leave_one_gateway_out,00800000a0001793,110148,0.09682427279660094,0.21650746999755083,187
0.5841024114319738,0.6982082216791995,0.3526546517291768,0.9141414141414141,0.50896309314587,0.824431498467338,0.5965329310884726,0.2357844596606133,792,2567,1,0.1,106789,3359,33,5min,leave_one_gateway_out,00800000a0001794,110148,0.09682427279660094,0.2357844596606133,187
0.6151515151515151,0.696969696969697,0.3216374269005848,0.8333333333333334,0.4641350210970464,0.7995867768595041,0.506549220114824,0.2,66,264,1,0.1,109818,330,33,5min,leave_one_gateway_out,00800000a0001914,110148,0.09682427279660094,0.2,187
0.8336932462344113,0.6578455087077305,0.5573949030712263,0.3826255980861244,0.4537636315276177,0.8008291298400491,0.5105987290644876,0.18053231118069427,6688,30358,1,0.1,73102,37046,33,5min,leave_one_gateway_out,7276ff002e062804,110148,0.09682427279660094,0.18053231118069427,187
0.6426784478628839,0.6426784478628839,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,33,5min,leave_one_gateway_out,0000024b0b031c97,110148,0.026945564150052656,0.0,187
1.0,1.0,0.0,0.0,0.0,,,0.0,0,5180,0,0.2,104968,5180,33,5min,leave_one_gateway_out,00000f0c210281c4,110148,0.026945564150052656,0.0,187
1.0,1.0,0.0,0.0,0.0,,,0.0,0,15749,0,0.2,94399,15749,33,5min,leave_one_gateway_out,00000f0c210721f2,110148,0.026945564150052656,0.0,187
0.5570046893317703,0.7052669739274219,0.2340980187695516,0.91353001017294,0.37269142975721103,0.8225017908449811,0.469817913332192,0.1440504103165299,983,5841,1,0.2,103324,6824,33,5min,leave_one_gateway_out,00000f0c22433141,110148,0.026945564150052656,0.1440504103165299,187
0.9101151114376684,0.6808567108634371,0.35514018691588783,0.41605839416058393,0.3831932773109244,0.8633949941839631,0.32871184415944965,0.06710751898114131,274,3809,1,0.2,106065,4083,33,5min,leave_one_gateway_out,00800000a0001793,110148,0.026945564150052656,0.06710751898114131,187
0.5397439714200655,0.7345282536374587,0.14563646470261257,0.966789667896679,0.2531400966183575,0.8776157677379883,0.39393939360865843,0.08067877344447752,271,3088,1,0.2,106789,3359,33,5min,leave_one_gateway_out,00800000a0001794,110148,0.026945564150052656,0.08067877344447752,187
0.6121212121212121,0.7942122186495177,0.1292517006802721,1.0,0.2289156626506024,0.8911829412760196,0.29420438132114946,0.05757575757575758,19,311,1,0.2,109818,330,33,5min,leave_one_gateway_out,00800000a0001914,110148,0.026945564150052656,0.05757575757575758,187
0.9581871187172705,0.6046198945639962,0.4155672823218997,0.22167487684729065,0.289123451124369,0.8680668963048014,0.289194864416384,0.038357717432381366,1421,35625,1,0.2,73102,37046,33,5min,leave_one_gateway_out,7276ff002e062804,110148,0.026945564150052656,0.038357717432381366,187
0.06845158886464044,0.06845158886464044,0.0,0.0,0.0,,,0.0,0,18787,0,0.1,40598,18787,33,10min,leave_one_gateway_out,0000024b0b031c97,59385,0.07183632230361202,0.0,187
0.9992275009656237,0.5,0.0,0.0,0.0,0.8544646308465405,0.00613275101739858,0.000772499034376207,2,2587,1,0.1,56796,2589,33,10min,leave_one_gateway_out,00000f0c210281c4,59385,0.07183632230361202,0.000772499034376207,187
0.999491998983998,0.5,0.0,0.0,0.0,0.6969504447268107,0.012553684639291691,0.000508001016002032,4,7870,1,0.1,51511,7874,33,10min,leave_one_gateway_out,00000f0c210721f2,59385,0.07183632230361202,0.000508001016002032,187
0.5554285714285714,0.6791519941274943,0.33560171919770776,0.9123661148977604,0.4907043728724797,0.8162704354006926,0.6003814916757345,0.23474285714285714,1027,3348,1,0.1,55010,4375,33,10min,leave_one_gateway_out,00000f0c22433141,59385,0.07183632230361202,0.23474285714285714,187
0.7746781115879828,0.8488948170731707,0.43646408839779005,0.9634146341463414,0.6007604562737643,0.9473450203252033,0.7627137583818868,0.1759656652360515,82,384,1,0.1,58919,466,33,10min,leave_one_gateway_out,00000f0c224331c4,59385,0.07183632230361202,0.1759656652360515,187
0.6122834645669292,0.7212930757294973,0.30581947743467935,0.8925476603119584,0.45555064130915524,0.8390296228401262,0.5650426619665854,0.18173228346456693,577,2598,1,0.1,56210,3175,33,10min,leave_one_gateway_out,00800000a0001793,59385,0.07183632230361202,0.18173228346456693,187
0.48313148788927335,0.6580439193221148,0.2664576802507837,0.9444444444444444,0.4156479217603912,0.8077909058360184,0.4968636871390628,0.19463667820069205,450,1862,1,0.1,57073,2312,33,10min,leave_one_gateway_out,00800000a0001794,59385,0.07183632230361202,0.19463667820069205,187
0.6264705882352941,0.7452103591027246,0.36254295532646047,0.9547511312217195,0.5255292652552926,0.8532271674434672,0.5698511694807421,0.21666666666666667,221,799,1,0.1,58365,1020,33,10min,leave_one_gateway_out,00800000a0001914,59385,0.07183632230361202,0.21666666666666667,187
0.8833235748123702,0.6646565983982945,0.41859154929577463,0.3904361534419338,0.40402392604676457,0.8206719636061366,0.3885991798304763,0.10129344759674243,1903,16884,1,0.1,40598,18787,33,10min,leave_one_gateway_out,7276ff002e062804,59385,0.07183632230361202,0.10129344759674243,187
0.6727524351945494,0.6727524351945494,0.0,0.0,0.0,,,0.0,0,18787,0,0.2,40598,18787,33,10min,leave_one_gateway_out,0000024b0b031c97,59385,0.01399343268502147,0.0,187
0.9996137504828119,0.5,0.0,0.0,0.0,0.9424265842349304,0.006666666666666667,0.0003862495171881035,1,2588,1,0.2,56796,2589,33,10min,leave_one_gateway_out,00000f0c210281c4,59385,0.01399343268502147,0.0003862495171881035,187
0.9998729997459995,0.5,0.0,0.0,0.0,0.8980058427537152,0.0012437810945273632,0.000127000254000508,1,7873,1,0.2,51511,7874,33,10min,leave_one_gateway_out,00000f0c210721f2,59385,0.01399343268502147,0.000127000254000508,187
0.416,0.6718908504051117,0.12769599452242383,0.9815789473684211,0.2259921235989094,0.8360753573545879,0.3734621865035025,0.08685714285714285,380,3995,1,0.2,55010,4375,33,10min,leave_one_gateway_out,00000f0c22433141,59385,0.01399343268502147,0.08685714285714285,187
0.6652360515021459,0.8231292517006803,0.13812154696132597,1.0,0.24271844660194175,0.9652607709750567,0.6827305232870025,0.0536480686695279,25,441,1,0.2,58919,466,33,10min,leave_one_gateway_out,00000f0c224331c4,59385,0.01399343268502147,0.0536480686695279,187
0.6296062992125985,0.7809772124580718,0.09450038729666925,0.9457364341085271,0.17183098591549295,0.9054497701904136,0.3853478984162972,0.04062992125984252,129,3046,1,0.2,56210,3175,33,10min,leave_one_gateway_out,00800000a0001793,59385,0.01399343268502147,0.04062992125984252,187
0.40657439446366783,0.6755678651059086,0.06870748299319727,0.9711538461538461,0.12833545108005082,0.875940635451505,0.30477119067607394,0.04498269896193772,104,2208,1,0.2,57073,2312,33,10min,leave_one_gateway_out,00800000a0001794,59385,0.01399343268502147,0.04498269896193772,187
0.6882352941176471,0.8061654135338345,0.1736842105263158,0.9428571428571428,0.29333333333333333,0.8858796992481203,0.3233796768664461,0.06862745098039216,70,950,1,0.2,58365,1020,33,10min,leave_one_gateway_out,00800000a0001914,59385,0.01399343268502147,0.06862745098039216,187
0.668440943205408,0.7920913792966042,0.017535545023696683,0.9173553719008265,0.034413269260579755,0.9013635079647176,0.13464367850592862,0.006440623835631021,121,18666,1,0.2,40598,18787,33,10min,leave_one_gateway_out,7276ff002e062804,59385,0.01399343268502147,0.006440623835631021,187
0.0007186202491216864,0.0007186202491216864,0.0,0.0,0.0,,,0.0,0,12524,0,0.1,29506,12524,33,15min,leave_one_gateway_out,0000024b0b031c97,42030,0.055270045205805376,0.0,187
0.9994206257242179,0.5,0.0,0.0,0.0,0.447536231884058,0.0010482180293501049,0.0005793742757821553,1,1725,1,0.1,40304,1726,33,15min,leave_one_gateway_out,00000f0c210281c4,42030,0.055270045205805376,0.0005793742757821553,187
0.9996190476190476,0.5,0.0,0.0,0.0,0.5443025914634146,0.001522609514837494,0.00038095238095238096,2,5248,1,0.1,36780,5250,33,15min,leave_one_gateway_out,00000f0c210721f2,42030,0.055270045205805376,0.00038095238095238096,187
0.5866711544934365,0.6953022192859454,0.32731508444962143,0.8850393700787401,0.477891156462585,0.8068459443425736,0.5482822529380416,0.21373274991585325,635,2336,1,0.1,39059,2971,33,15min,leave_one_gateway_out,00000f0c22433141,42030,0.055270045205805376,0.21373274991585325,187
0.8146892655367232,0.8858525133290914,0.41935483870967744,0.9831932773109243,0.5879396984924623,0.9591021787305,0.7244796242195345,0.1344632768361582,119,766,1,0.1,41145,885,33,15min,leave_one_gateway_out,00000f0c224331c4,42030,0.055270045205805376,0.1344632768361582,187
