Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type,test_gateway
0.6090909090909091,0.47111401169059647,0.1702127659574468,0.23880597014925373,0.19875776397515527,0.49917711821122523,0.20698575663820148,0.20303030303030303,67,263,1,0.1,109818,330,8,current_radio_only,leave_one_gateway_out,00800000a0001914
0.5303030303030303,0.42168435389591963,0.13333333333333333,0.23880597014925373,0.1711229946524064,0.45593326144940693,0.20654786339161096,0.20303030303030303,67,263,1,0.1,109818,330,2,delayed_radio_only,leave_one_gateway_out,00800000a0001914
0.8334503050261837,0.6666866901916946,0.5572831423895254,0.4047548291233284,0.468927526252367,0.8060590997216639,0.520498369666005,0.18166603681908977,6730,30316,1,0.1,73102,37046,33,full_features,leave_one_gateway_out,7276ff002e062804
0.1803163634400475,0.495244866994846,0.18024891774891774,0.9898959881129272,0.3049668116273747,0.37385005970787744,0.1362798616381008,0.18166603681908977,6730,30316,1,0.1,73102,37046,1,current_crc_only,leave_one_gateway_out,7276ff002e062804
0.8334772984937645,0.6661829717564389,0.5576093653727665,0.4034175334323923,0.4681438055004742,0.8062141970844205,0.5207268054333227,0.18166603681908977,6730,30316,1,0.1,73102,37046,32,without_current_crc,leave_one_gateway_out,7276ff002e062804
0.8292663175511527,0.5637872899759973,0.6288987905792489,0.14680534918276375,0.2380436092037104,0.7337463021993006,0.41707972231221496,0.18166603681908977,6730,30316,1,0.1,73102,37046,28,without_current_rolling_crc,leave_one_gateway_out,7276ff002e062804
0.8099929816984289,0.500972813947666,0.2023121387283237,0.015601783060921248,0.028969513036280866,0.5656058217484106,0.20796503437795777,0.18166603681908977,6730,30316,1,0.1,73102,37046,26,without_all_crc,leave_one_gateway_out,7276ff002e062804
0.26297036117259626,0.5038403359795885,0.18296967455621302,0.8821693907875185,0.3030782582061361,0.5088684871998113,0.18014218257678905,0.18166603681908977,6730,30316,1,0.1,73102,37046,8,current_radio_only,leave_one_gateway_out,7276ff002e062804
0.18212492576796416,0.5001069762052689,0.18169786349026282,0.999554234769688,0.30749891436015814,0.540345782228089,0.1988247251371839,0.18166603681908977,6730,30316,1,0.1,73102,37046,2,delayed_radio_only,leave_one_gateway_out,7276ff002e062804
0.6379677436525257,0.6379677436525257,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,33,full_features,leave_one_gateway_out,0000024b0b031c97
0.0,0.0,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,1,current_crc_only,leave_one_gateway_out,0000024b0b031c97
0.6387927822430404,0.6387927822430404,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,32,without_current_crc,leave_one_gateway_out,0000024b0b031c97
0.2475115771544153,0.2475115771544153,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,28,without_current_rolling_crc,leave_one_gateway_out,0000024b0b031c97
0.9947570128280194,0.9947570128280194,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,26,without_all_crc,leave_one_gateway_out,0000024b0b031c97
0.7735668281258317,0.7735668281258317,0.0,0.0,0.0,,,0.0,0,37574,0,0.2,72574,37574,8,current_radio_only,leave_one_gateway_out,0000024b0b031c97
